po_office,state_name,lat,long
"Jacksonville, NC",North Carolina,34.76,-77.4
"Wichita Falls, TX",Texas,33.9,-98.52
"Jonesboro, AR",Arkansas,35.82,-90.69
"Vancouver, WA",Washington,45.63,-122.64
"Grand Junction, CO",Colorado,39.09,-108.55
"Reading, PA",Pennsylvania,40.34,-75.93
"Galveston, TX",Texas,29.3,-94.81
"Riverside, CA",California,33.94,-117.4
"Lafayette, IN",Indiana,40.41,-86.87
"Binghamton, NY",New York,42.1,-75.91
"Richland, WA",Washington,46.29,-119.29
"Modesto, CA",California,37.66,-120.99
"Temple, TX",Texas,31.1,-97.36
"Sierra Vista, AZ",Arizona,31.57,-110.32
"Paterson, NJ",New Jersey,40.91,-74.16
"Tuscaloosa, AL",Alabama,33.24,-87.54
"Roseville, CA",California,38.76,-121.29
"Bakersfield, CA",California,35.36,-119
"Boca Raton, FL",Florida,26.37,-80.11
"Santa Barbara, CA",California,34.43,-119.72
"Santa Rosa, CA",California,38.45,-122.7
"Redding, CA",California,40.57,-122.36
"Brunswick, GA",Georgia,51.9996347,-0.3064121
"East St. Louis, IL",Illinois,38.6268666,-90.159707
"San Juan, PR",Puerto Rico,18.384239,-66.05344
"McAllen, TX",Texas,26.204114,-98.2300605
"Pecos, TX",Texas,30.7857437,-102.8065415
"Manassas, VA",Virginia,38.7509488,-77.4752667
"Washington, DC",District of Columbia,38.8950982,-77.0363849
"Hagatna, GU",Guam,13.4748148,144.7516191
"Bay City, MI",Michigan,43.5962107,-83.8881711
"Marquette, MI",Michigan,46.4481521,-87.6305899
"Oxford, MS",Mississippi,34.3689929,-89.505933
"Cape Girardeau, MO",Missouri,37.304731,-89.5176418
"St. Louis, MO",Missouri,38.6254063,-90.190009
"New York City, NY",New York,40.7127281,-74.0060152
"Winston Salem, NC",North Carolina,36.0998131,-80.2440518
"Statesville, NC",North Carolina,35.7827676,-80.8873574
"Muskogee, OK",Oklahoma,35.6630196,-95.3927706
"Greeneville, TN",Tennessee,36.1631575,-82.8309861
"Alpine, TX",Texas,30.3602181,-103.6628596
"Del Rio, TX",Texas,29.357515,-100.8987707
"Midland Odessa, TX",Texas,31.8330508,-102.360544
"Burlington, VT",Vermont,44.4761601,-73.212906
"Martinsburg, WV",West Virginia,39.4562528,-77.9639604
"Fairbanks, AK",Alaska,64.837845,-147.716675
"Hot Springs, AR",Arkansas,34.5038393,-93.0552437
"Woodland Hills, CA",California,34.1684364,-118.6058382
"Panama City, FL",Florida,30.1586518,-85.6602936
"Fort Pierce, FL",Florida,27.4467056,-80.3256056
"Key West, FL",Florida,24.5548262,-81.8020722
"Athens, GA",Georgia,33.9597677,-83.376398
"Augusta, GA",Georgia,33.4709714,-81.9748429
"Champaign/Urbana, IL",Illinois,40.1157948,-88.241194
"Rock Island, IL",Illinois,41.4411786,-90.5766144
"Benton, IL",Illinois,37.9967163,-88.9200685
"London, KY",Kentucky,37.1283343,-84.0835576
"Greenbelt, MD",Maryland,39.004607,-76.8756838
"St. Paul, MN",Minnesota,44.9497487,-93.0931028
"Aberdeen, MS",Mississippi,33.8251139,-88.5436553
"Brooklyn, NY",New York,40.6526006,-73.9497211
"New Bern, NC",North Carolina,35.1068428,-77.0398762
"Salisbury, NC",North Carolina,35.6709727,-80.4742261
"Belcourt, ND",North Dakota,48.8429635,-99.7448161
"Minot, ND",North Dakota,48.23251,-101.296273
"Williamsport, PA",Pennsylvania,41.2411556,-77.0011096
"Johnston, PA",Pennsylvania,39.758427,-77.7549943
"Florence, SC",South Carolina,34.1984435,-79.7671658
"Aberdeen, SD",South Dakota,45.4649805,-98.487813
"Sherman, TX",Texas,36.2452294,-101.8858689
"Texarkana, TX",Texas,33.4466745,-94.0771483
"St. George, UT",Utah,37.1098772,-113.5832063
"Abingdon, VA",Virginia,36.7104018,-81.975249
"Charlottesville, VA",Virginia,38.029306,-78.4766781
"St. Thomas, VI",Virgin Islands,18.3429082,-64.9188997
"Clarksburg, WV",West Virginia,39.2806451,-80.3445341
"Elkins, WV",West Virginia,38.925927,-79.8466552
"Wheeling, WV",West Virginia,40.0639616,-80.7209149
"Beckley, WV",West Virginia,37.7781702,-81.1881557
"Bluefield, WV",West Virginia,37.2698395,-81.2223195
"Ventura, CA",California,34.2768173,-119.299657
"Lisle, IL",Illinois,41.801159,-88.0747687
"Paducah, KY",Kentucky,37.0833893,-88.6000478
"Bangor, ME",Maine,44.8016255,-68.7713289
"Greenville, MS",Mississippi,34.8576708,-82.3703431
"Tupelo, MS",Mississippi,34.2576067,-88.7033859
"Butte, MT",Montana,46.0131505,-112.536508
"Central Islip, NY",New York,40.7807275,-73.192822
"Saipan, MP",North Mariana Islands,15.1909825,145.746743
"Spartanburg, SC",South Carolina,34.9498007,-81.9320157
"Columbia, TN",Tennessee,35.6148165,-87.0338464
"St. Croix, VI",Virgin Islands,17.729124,-64.7589156
"Gainesville, GA",Georgia,34.2978794,-83.8240663
"Pikeville, KY",Kentucky,37.4792672,-82.5187629
"Glasgow, MT",Montana,48.1955915,-106.635556
"Brattleboro, VT",Vermont,42.8507588,-72.5572913
"Fergus Falls, MN",Minnesota,46.283015,-96.077558
"Tukwila, WA",Washington,47.4627356,-122.2559156
"Florence, AL",Alabama,29.425701,-98.4674863
"Durango, CO",Colorado,37.2769484,-107.8766
"Lufkin, TX",Texas,31.3386242,-94.7288558
"Lander, WY",Wyoming,38.110021,-84.5317774
"Rome, GA",Georgia,34.257038,-85.1646726
"Durant, OK",Oklahoma,33.9919761,-96.3776762
"Colonial Heights, VA",Virginia,37.2555718,-77.4112016
"Newnan, GA",Georgia,33.3806716,-84.7996573
"Ashland, KY",Kentucky,38.4784144,-82.6379387
"Studio City, CA",California,34.1483989,-118.3961877
"New Albany, IN",Indiana,38.2856247,-85.8241312
"New Town, ND",North Dakota,47.980848,-102.49018
"Wilkes Barre, PA",Pennsylvania,41.2464824,-75.8817316
"Big Stone Gap, VA",Virginia,36.8677938,-82.7742267
"Statesboro, GA",Georgia,32.4490141,-81.7832912
"Williamsburg, VA",Virginia,37.2712497,-76.700035
"Rio Grande City, TX",Texas,26.3827771,-98.8205251
"Middletown, NY",New York,41.45011,-74.4164807
"Rock Island, IA",Iowa,41.5239641,-95.4367014
