state,year,drug_cat,probation_sentence_count,supervised_release_sentence_count,total_sentence_count_by_drug_cat,probation_sentence_rate,supervised_release_sentence_rate,total_sentences_by_state_year
Guam,2017,Marijuana Trafficking,0,0,0,0,0,24
Guam,2018,Marijuana Possession,0,0,0,0,0,20
Guam,2018,Marijuana Trafficking,0,0,0,0,0,20
Guam,2019,Marijuana Possession,0,0,0,0,0,14
Guam,2019,Marijuana Trafficking,0,0,0,0,0,14
Guam,2020,Marijuana Possession,0,0,0,0,0,20
Guam,2020,Marijuana Trafficking,0,0,0,0,0,20
Guam,2021,Marijuana Possession,0,0,0,0,0,14
Guam,2021,Marijuana Trafficking,0,0,0,0,0,14
Guam,2022,Marijuana Possession,0,0,0,0,0,13
Guam,2022,Marijuana Trafficking,0,0,0,0,0,13
Guam,2023,Marijuana Possession,0,0,0,0,0,9
Guam,2023,Marijuana Trafficking,0,0,0,0,0,9
Guam,2024,Marijuana Possession,0,0,0,0,0,22
Guam,2024,Marijuana Trafficking,0,0,0,0,0,22
Hawaii,2014,Marijuana Possession,1,2,2,0.5,1,291
Hawaii,2014,Marijuana Trafficking,3,16,18,0.166666666666667,0.888888888888889,291
Hawaii,2015,Marijuana Possession,0,0,0,0,0,239
Hawaii,2015,Marijuana Trafficking,1,2,3,0.333333333333333,0.666666666666667,239
Hawaii,2016,Marijuana Possession,0,0,0,0,0,81
Hawaii,2016,Marijuana Trafficking,0,0,0,0,0,81
Hawaii,2017,Marijuana Possession,0,0,0,0,0,86
Hawaii,2017,Marijuana Trafficking,0,0,0,0,0,86
Hawaii,2018,Marijuana Possession,0,0,0,0,0,108
Hawaii,2018,Marijuana Trafficking,0,0,0,0,0,108
Hawaii,2019,Marijuana Possession,1,0,1,1,0,110
Hawaii,2019,Marijuana Trafficking,0,0,0,0,0,110
Hawaii,2020,Marijuana Possession,0,0,0,0,0,82
Hawaii,2020,Marijuana Trafficking,0,0,0,0,0,82
Hawaii,2021,Marijuana Possession,0,0,0,0,0,116
Hawaii,2021,Marijuana Trafficking,0,0,0,0,0,116
Hawaii,2022,Marijuana Possession,0,0,0,0,0,103
Hawaii,2022,Marijuana Trafficking,0,0,0,0,0,103
Hawaii,2023,Marijuana Possession,0,0,0,0,0,82
Hawaii,2023,Marijuana Trafficking,0,0,0,0,0,82
Hawaii,2024,Marijuana Possession,0,0,0,0,0,81
Hawaii,2024,Marijuana Trafficking,0,0,0,0,0,81
Idaho,2014,Marijuana Possession,0,0,0,0,0,313
Idaho,2014,Marijuana Trafficking,2,2,4,0.5,0.5,313
Idaho,2015,Marijuana Possession,0,0,0,0,0,264
Idaho,2015,Marijuana Trafficking,2,2,7,0.285714285714286,0.285714285714286,264
Idaho,2016,Marijuana Possession,0,0,0,0,0,222
Idaho,2016,Marijuana Trafficking,1,3,4,0.25,0.75,222
Idaho,2017,Marijuana Possession,0,0,0,0,0,294
Idaho,2017,Marijuana Trafficking,1,3,3,0.333333333333333,1,294
Idaho,2018,Marijuana Possession,0,0,0,0,0,332
Idaho,2018,Marijuana Trafficking,0,1,1,0,1,332
Idaho,2019,Marijuana Possession,0,0,0,0,0,309
Idaho,2019,Marijuana Trafficking,0,4,4,0,1,309
Idaho,2020,Marijuana Possession,0,0,0,0,0,283
Idaho,2020,Marijuana Trafficking,0,0,0,0,0,283
Idaho,2021,Marijuana Possession,0,0,0,0,0,211
Idaho,2021,Marijuana Trafficking,0,0,0,0,0,211
Idaho,2022,Marijuana Possession,0,0,0,0,0,302
Idaho,2022,Marijuana Trafficking,0,0,0,0,0,302
Idaho,2023,Marijuana Possession,0,0,0,0,0,251
Idaho,2023,Marijuana Trafficking,0,1,1,0,1,251
Idaho,2024,Marijuana Possession,0,0,0,0,0,273
